Day,Value,nifty-50,Sensex
1/1/1900,4872,17625,59183.22
1/4/2022,4836,17805,59855.93
1/5/2022,4678,17925,60223.15
1/6/2022,4534,17745,59601.84
1/7/2022,4545,17812,59744.65
1/8/2022,4545,17812,59744.65
1/9/2022,4545,17812,59744.65
1/10/2022,4493,18003,60395.63
1/11/2022,4491,18055,60616.89
1/12/2022,4485,18212,61150.04
1/13/2022,4518,18257,61235.3
1/14/2022,4445,18255,61223.03
1/15/2022,4445,18255,61223.03
1/16/2022,4445,18255,61223.03
1/17/2022,4377,18308,61308.91
1/18/2022,4349,18113,60098.82
1/19/2022,4267,17938,60098.82
1/20/2022,4246,17757,59464.62
1/21/2022,4301,17617,59464.62
1/22/2022,4301,17617,59464.62
1/23/2022,4301,17617,59464.62
1/24/2022,4066,17149,59037.18
1/25/2022,4144,17277,57491.51
1/26/2022,4144,17110,57858.15
1/27/2022,4066,17101,57276.94
1/28/2022,4287,17101,57276.94
1/29/2022,4287,17101,57276.94
1/30/2022,4287,17339,57200.23
1/31/2022,4400,17576,57200.23
2/1/2022,4496,17780,57200.23
2/2/2022,4436,17560,58014.17
2/3/2022,4342,17516,58862.57
2/4/2022,4296,17516,59558.33
2/5/2022,4296,17516,58788.02
2/6/2022,4296,17213,58644.82
2/7/2022,4232,17266,58644.82
2/8/2022,4163,17463,58644.82
2/9/2022,4366,17605,57621.19
2/10/2022,4413,17374,57808.58
2/11/2022,4196,17374,58465.97
2/12/2022,4196,17374,58926.03
2/13/2022,4196,16842,58152.92
2/14/2022,3943,17352,58152.92
2/15/2022,4157,17322,58152.92
2/16/2022,4020,17304,56405.84
2/17/2022,3913,17276,58142.05
2/18/2022,3858,17276,57996.68
2/19/2022,3858,17276,57892.01
2/20/2022,3858,17206,57832.97
2/21/2022,3837,17092,57832.97
2/22/2022,3927,17063,57832.97
2/23/2022,3959,16247,57683.59
2/24/2022,3776,16358,57300.68
2/25/2022,3873,16658,57232.06
2/26/2022,3873,16658,54529.91
2/27/2022,3873,16793,55858.52
2/28/2022,3937,16700,55858.52
3/1/2022,3837,16605,55858.52
3/2/2022,3837,16498,56247.28
3/3/2022,3885,16245,55468.9
